YEAR,MONTH,DAY,VISITOR_TEAM,HOME_TEAM,MIN_LINE,MAX_LINE,AVERAGE_LINE
2006,11,01,Atlanta,Philadelphia,198.5,199.5,198.9
2006,11,01,Indiana,Charlotte,192.5,193.5,193.43333333333334
2006,11,01,Chicago,Orlando,183.5,187.5,183.76666666666668
2006,11,01,New Orleans,Boston,195.5,198.5,197.5
2006,11,01,Toronto,Brooklyn,195.5,202.5,201.36666666666667
2006,11,01,Sacramento,Minnesota,184.5,187.5,185.1
2006,11,01,Milwaukee,Detroit,189.5,194.5,194.16666666666666
2006,11,01,Washington,Cleveland,194.5,194.5,194.5
2006,11,01,New York,Memphis,184.5,196.5,195.03333333333333
2006,11,01,Houston,Utah,179.5,185.5,180.3
2006,11,01,L.A. Clippers,Phoenix,210.5,213.5,211.76666666666668
2006,11,01,L.A. Lakers,Golden State,199.5,205.5,204.56666666666666
2006,11,02,San Antonio,Dallas,182.5,187.5,182.83333333333334
2006,11,02,Denver,L.A. Clippers,200.5,209.5,208.76666666666668
2006,11,03,Milwaukee,Toronto,201.5,208.5,207.36666666666667
2006,11,03,Philadelphia,Orlando,191.5,194.5,191.7
2006,11,03,New Orleans,Indiana,190.5,193.5,192.63333333333333
2006,11,03,Detroit,Boston,192.5,195.5,194.76666666666668
2006,11,03,New York,Atlanta,202.5,204.5,204.36666666666667
2006,11,03,Brooklyn,Miami,185.5,191.5,187.1
2006,11,03,Charlotte,Memphis,187.5,190.5,188.76666666666668
2006,11,03,Cleveland,San Antonio,184.5,187.5,184.7
2006,11,03,Sacramento,Chicago,183.5,186.5,186.3
2006,11,03,Minnesota,Denver,193.5,198.5,198.16666666666666
2006,11,03,Utah,Phoenix,209.5,213.5,212.43333333333334
2006,11,03,Portland,Golden State,203.5,207.5,207.23333333333332
2006,11,04,Boston,Washington,200.5,200.5,200.5
2006,11,04,Cleveland,Charlotte,192.5,195.5,192.83333333333334
2006,11,04,Indiana,New York,203.5,203.5,203.5
2006,11,04,Memphis,Detroit,182.5,188.5,182.9
2006,11,04,Sacramento,Milwaukee,192.5,193.5,192.7
2006,11,04,Dallas,Houston,184.5,186.5,184.9
2006,11,04,Golden State,Utah,206.5,209.5,206.96666666666667
2006,11,04,Minnesota,Portland,188.5,193.5,189.5
2006,11,04,Phoenix,L.A. Clippers,211.5,217.5,212.03333333333333
2006,11,05,San Antonio,Toronto,192.5,192.5,192.5
2006,11,05,Miami,Philadelphia,188.5,189.5,188.63333333333333
2006,11,05,Orlando,Atlanta,194.5,198.5,194.76666666666668
2006,11,05,Houston,New Orleans,182.5,189.5,182.96666666666667
2006,11,06,Washington,Orlando,203.5,204.5,203.76666666666668
2006,11,06,San Antonio,New York,192.5,194.5,194.36666666666667
2006,11,06,Milwaukee,Chicago,190.5,191.5,190.63333333333333
2006,11,06,Golden State,Dallas,199.5,200.5,200.43333333333334
2006,11,06,Detroit,Utah,190.5,191.5,190.56666666666666
2006,11,06,Minnesota,Sacramento,181.5,187.5,187.1
2006,11,06,Portland,L.A. Clippers,193.5,200.5,194.63333333333333
2006,11,07,Atlanta,Cleveland,187.5,187.5,187.5
2006,11,07,Philadelphia,Indiana,196.5,198.5,198.36666666666667
2006,11,07,Houston,Memphis,178.5,180.5,178.63333333333333
2006,11,07,Golden State,New Orleans,198.5,198.5,198.5
2006,11,07,Minnesota,L.A. Lakers,197.5,205.5,198.3
2006,11,08,Philadelphia,Toronto,202.5,206.5,203.3
2006,11,08,Indiana,Washington,201.5,205.5,202.03333333333333
2006,11,08,Charlotte,Boston,199.5,201.5,200.96666666666667
2006,11,08,Utah,Brooklyn,189.5,193.5,190.3
2006,11,08,Houston,Milwaukee,188.5,191.5,188.96666666666667
2006,11,08,Phoenix,San Antonio,203.5,206.5,206.3
2006,11,08,New York,Denver,208.5,213.5,213.16666666666666
2006,11,08,L.A. Lakers,Portland,195.5,199.5,195.76666666666668
2006,11,08,Dallas,L.A. Clippers,191.5,193.5,192.16666666666666
2006,11,08,Detroit,Sacramento,186.5,188.5,187.43333333333334
2006,11,09,Chicago,Cleveland,181.5,183.5,182.9
2006,11,09,Dallas,Phoenix,207.5,212.5,208.63333333333333
2006,11,09,New Orleans,Golden State,196.5,196.5,196.5
2006,11,10,Orlando,Indiana,193.5,198.5,194.36666666666667
2006,11,10,Atlanta,Toronto,201.5,202.5,201.63333333333333
2006,11,10,Denver,Philadelphia,205.5,207.5,206.43333333333334
2006,11,10,Milwaukee,Washington,208.5,209.5,208.56666666666666
2006,11,10,Utah,Boston,196.5,200.5,196.76666666666668
2006,11,10,Miami,Brooklyn,183.5,186.5,184.23333333333332
2006,11,10,New York,Houston,195.5,196.5,196.16666666666666
2006,11,10,New Orleans,Portland,186.5,188.5,186.63333333333333
2006,11,10,Detroit,L.A. Lakers,195.5,196.5,195.63333333333333
2006,11,11,Boston,Cleveland,195.5,196.5,196.1
2006,11,11,New York,San Antonio,198.5,199.5,198.76666666666668
2006,11,11,Orlando,Minnesota,186.5,187.5,186.7
2006,11,11,Indiana,Chicago,187.5,187.5,187.5
2006,11,11,Utah,Milwaukee,198.5,199.5,199.16666666666666
2006,11,11,Memphis,Phoenix,204.5,205.5,205.3
2006,11,11,Detroit,Golden State,196.5,197.5,196.76666666666668
2006,11,12,New Orleans,L.A. Clippers,190.5,193.5,192.76666666666668
2006,11,12,Brooklyn,Washington,200.5,202.5,201.3
2006,11,12,Denver,Charlotte,203.5,206.5,203.7
2006,11,12,Houston,Miami,183.5,184.5,183.56666666666666
2006,11,12,Toronto,Sacramento,197.5,198.5,198.43333333333334
2006,11,12,Dallas,Portland,187.5,189.5,187.76666666666668
2006,11,12,Memphis,L.A. Lakers,186.5,191.5,187.1
2006,11,13,Cleveland,New York,198.5,199.5,199.43333333333334
2006,11,13,Orlando,Boston,198.5,199.5,199.23333333333332
2006,11,14,Milwaukee,Atlanta,204.5,205.5,204.76666666666668
2006,11,14,Denver,Miami,197.5,199.5,198.43333333333334
2006,11,14,Charlotte,New Orleans,191.5,191.5,191.5
2006,11,14,Portland,Minnesota,183.5,185.5,185.23333333333332
2006,11,14,San Antonio,Houston,177.5,178.5,177.56666666666666
2006,11,14,Chicago,Dallas,189.5,190.5,189.83333333333334
2006,11,14,L.A. Clippers,Utah,197.5,198.5,198.3
2006,11,14,Toronto,Golden State,208.5,214.5,214.1
2006,11,15,Denver,Orlando,205.5,207.5,207.36666666666667
2006,11,15,Portland,Cleveland,186.5,187.5,186.83333333333334
2006,11,15,Indiana,Boston,193.5,196.5,194.63333333333333
2006,11,15,Milwaukee,Brooklyn,194.5,199.5,195.63333333333333
2006,11,15,Washington,New York,211.5,212.5,211.56666666666666
2006,11,15,New Orleans,Detroit,186.5,188.5,187.3
2006,11,15,Charlotte,San Antonio,188.5,189.5,188.56666666666666
2006,11,15,Memphis,Sacramento,177.5,178.5,177.83333333333334
2006,11,16,Chicago,Houston,178.5,181.5,180.1
2006,11,16,Sacramento,Golden State,196.5,204.5,201.43333333333334
2006,11,17,Brooklyn,Indiana,186.5,187.5,186.9
2006,11,17,Portland,Boston,196.5,196.5,196.5
2006,11,17,New York,Miami,202.5,202.5,202.5
2006,11,17,Minnesota,Cleveland,186.5,186.5,186.5
2006,11,17,Washington,Detroit,199.5,200.5,200.3
2006,11,17,Dallas,Memphis,185.5,186.5,185.7
2006,11,17,Chicago,San Antonio,184.5,184.5,184.5
2006,11,17,Philadelphia,Phoenix,210.5,211.5,210.7
2006,11,17,Toronto,L.A. Lakers,208.5,208.5,208.5
2006,11,18,Cleveland,Washington,195.5,197.5,196.9
2006,11,18,Miami,Atlanta,192.5,192.5,192.5
2006,11,18,Charlotte,Orlando,193.5,193.5,193.5
2006,11,18,Portland,Brooklyn,187.5,188.5,187.7
2006,11,18,Boston,New York,208.5,208.5,208.5
2006,11,18,Houston,Detroit,182.5,182.5,182.5
2006,11,18,New Orleans,Minnesota,185.5,185.5,185.5
2006,11,18,Indiana,Milwaukee,197.5,198.5,197.9
2006,11,18,Memphis,Dallas,191.5,191.5,191.5
2006,11,18,Phoenix,Utah,212.5,213.5,212.7
2006,11,18,Toronto,Denver,214.5,215.5,214.7
2006,11,18,Philadelphia,L.A. Clippers,194.5,195.5,194.9
2006,11,19,Chicago,L.A. Lakers,195.5,196.5,196.1
2006,11,19,San Antonio,Sacramento,185.5,185.5,185.5
2006,11,20,Dallas,Charlotte,192.5,193.5,192.63333333333333
2006,11,20,Houston,New York,194.5,196.5,195.03333333333333
2006,11,20,Orlando,Memphis,185.5,186.5,185.76666666666668
2006,11,20,Toronto,Utah,212.5,213.5,212.83333333333334
2006,11,20,San Antonio,Portland,183.5,184.5,184.03333333333333
2006,11,20,Phoenix,Golden State,216.5,218.5,217.7
2006,11,21,Detroit,Philadelphia,187.5,191.5,188.56666666666666
2006,11,21,Memphis,Cleveland,183.5,183.5,183.5
2006,11,21,Milwaukee,Indiana,198.5,199.5,198.83333333333334
2006,11,21,Miami,New Orleans,183.5,184.5,184.03333333333333
2006,11,21,Washington,Dallas,203.5,206.5,204.5
2006,11,21,Chicago,Denver,205.5,206.5,205.96666666666667
2006,11,21,L.A. Clippers,L.A. Lakers,191.5,193.5,192.63333333333333
2006,11,22,Cleveland,Toronto,199.5,200.5,199.7
2006,11,22,Boston,Charlotte,198.5,200.5,199.63333333333333
2006,11,22,Indiana,Orlando,189.5,190.5,190.23333333333332
2006,11,22,Atlanta,Detroit,187.5,188.5,188.43333333333334
2006,11,22,Miami,San Antonio,182.5,183.5,182.76666666666668
2006,11,22,Philadelphia,Milwaukee,193.5,195.5,194.83333333333334
2006,11,22,New York,Minnesota,195.5,195.5,195.5
2006,11,22,Washington,Houston,192.5,194.5,193.16666666666666
2006,11,22,New Orleans,Phoenix,209.5,210.5,210.43333333333334
2006,11,22,Utah,Sacramento,204.5,205.5,205.3
2006,11,22,Brooklyn,Portland,184.5,184.5,184.5
2006,11,22,Denver,Golden State,216.5,217.5,217.43333333333334
2006,11,24,New York,Boston,208.5,210.5,210.23333333333332
2006,11,24,Chicago,Philadelphia,191.5,192.5,191.56666666666666
2006,11,24,Toronto,Atlanta,203.5,204.5,203.63333333333333
2006,11,24,Orlando,Miami,183.5,183.5,183.5
2006,11,24,Charlotte,Detroit,184.5,185.5,185.16666666666666
2006,11,24,Cleveland,Indiana,184.5,185.5,184.7
2006,11,24,Washington,Memphis,190.5,192.5,190.76666666666668
2006,11,24,Minnesota,New Orleans,184.5,185.5,184.7
2006,11,24,Dallas,San Antonio,188.5,189.5,188.7
2006,11,24,Golden State,Denver,219.5,221.5,220.5
2006,11,24,L.A. Lakers,Utah,202.5,204.5,203.43333333333334
2006,11,24,Brooklyn,Phoenix,203.5,204.5,204.36666666666667
2006,11,25,Detroit,Washington,196.5,197.5,197.36666666666667
2006,11,25,Miami,Charlotte,185.5,187.5,186.7
2006,11,25,Atlanta,Orlando,190.5,190.5,190.5
2006,11,25,Chicago,New York,199.5,200.5,199.83333333333334
2006,11,25,Philadelphia,Cleveland,190.5,192.5,192.1
2006,11,25,L.A. Clippers,Minnesota,186.5,187.5,186.9
2006,11,25,Memphis,Houston,178.5,178.5,178.5
2006,11,25,New Orleans,Dallas,186.5,188.5,187.5
2006,11,25,Boston,Milwaukee,207.5,207.5,207.5
2006,11,25,Portland,Sacramento,195.5,197.5,197.1
2006,11,25,Utah,Golden State,214.5,216.5,214.63333333333333
2006,11,26,Indiana,Toronto,198.5,199.5,198.56666666666666
2006,11,26,L.A. Clippers,Denver,212.5,215.5,214.76666666666668
2006,11,26,Phoenix,Portland,207.5,207.5,207.5
2006,11,26,Brooklyn,L.A. Lakers,191.5,192.5,191.63333333333333
2006,11,27,Philadelphia,Miami,194.5,196.5,196.36666666666667
2006,11,27,Minnesota,Dallas,184.5,185.5,185.16666666666666
2006,11,27,Orlando,Utah,197.5,198.5,198.1
2006,11,27,San Antonio,Golden State,195.5,199.5,195.76666666666668
2006,11,28,Atlanta,Washington,198.5,201.5,199.5
2006,11,28,Charlotte,Brooklyn,186.5,187.5,186.76666666666668
2006,11,28,Toronto,New Orleans,187.5,190.5,188.36666666666667
2006,11,28,New York,Chicago,198.5,199.5,198.7
2006,11,28,Minnesota,Houston,177.5,178.5,178.43333333333334
2006,11,28,Memphis,Denver,203.5,204.5,203.76666666666668
2006,11,28,L.A. Clippers,Sacramento,195.5,197.5,197.23333333333332
2006,11,28,Indiana,Portland,187.5,188.5,187.96666666666667
2006,11,28,Milwaukee,L.A. Lakers,201.5,202.5,202.43333333333334
2006,11,29,Charlotte,Atlanta,187.5,187.5,187.5
2006,11,29,New York,Cleveland,194.5,195.5,195.43333333333334
2006,11,29,Brooklyn,Boston,194.5,195.5,194.56666666666666
2006,11,29,Toronto,Dallas,192.5,194.5,192.9
2006,11,29,San Antonio,Utah,190.5,191.5,190.56666666666666
2006,11,29,Houston,Phoenix,196.5,197.5,196.56666666666666
2006,11,29,Memphis,L.A. Clippers,181.5,182.5,182.3
2006,11,29,Indiana,Golden State,204.5,206.5,205.96666666666667
2006,11,30,Detroit,Miami,192.5,193.5,192.56666666666666
2006,11,30,Utah,L.A. Lakers,198.5,202.5,199.3
2007,06,02,Detroit,Cleveland,173.5,173.5,173.5
2007,06,07,Cleveland,San Antonio,179.5,180.5,179.55263157894737
2007,06,10,Cleveland,San Antonio,175.5,178.5,175.97368421052633
2007,06,12,San Antonio,Cleveland,178.5,180.5,179.8684210526316
2007,06,14,San Antonio,Cleveland,176.5,177.5,176.81578947368422
2007,05,01,Brooklyn,Toronto,188.5,190.5,189.3
2007,05,01,Golden State,Dallas,205.5,207.5,206.03333333333333
2007,05,02,Denver,San Antonio,188.5,189.5,189.44117647058823
2007,05,02,L.A. Lakers,Phoenix,208.5,210.5,209.44117647058823
2007,05,03,Houston,Utah,183.5,184.5,183.7941176470588
2007,05,03,Dallas,Golden State,208.5,209.5,209.38235294117646
2007,05,04,Toronto,Brooklyn,188.5,190.5,189.8684210526316
2007,05,05,Chicago,Detroit,181.5,183.5,182.81578947368422
2007,05,06,Brooklyn,Cleveland,183.5,185.5,184.39473684210526
2007,05,06,San Antonio,Phoenix,200.5,200.5,200.5
2007,05,07,Chicago,Detroit,180.5,182.5,182.28947368421052
2007,05,07,Golden State,Utah,207.5,209.5,208.97368421052633
2007,05,08,Brooklyn,Cleveland,180.5,182.5,182.18421052631578
2007,05,08,San Antonio,Phoenix,203.5,206.5,205.71052631578948
2007,05,09,Golden State,Utah,213.5,213.5,213.5
2007,05,10,Detroit,Chicago,183.5,185.5,185.07894736842104
2007,05,11,Utah,Golden State,216.5,217.5,216.8684210526316
2007,05,12,Cleveland,Brooklyn,184.5,186.5,185.8684210526316
2007,05,12,Phoenix,San Antonio,200.5,203.5,201.81578947368422
2007,05,13,Detroit,Chicago,181.5,182.5,181.66666666666666
2007,05,13,Utah,Golden State,219.5,220.5,219.66666666666666
2007,05,14,Cleveland,Brooklyn,184.5,185.5,184.85294117647058
2007,05,14,Phoenix,San Antonio,202.5,203.5,203.44117647058823
2007,05,15,Chicago,Detroit,182.5,184.5,183.23684210526315
2007,05,15,Golden State,Utah,216.5,217.5,217.44736842105263
2007,05,16,Brooklyn,Cleveland,183.5,183.5,183.5
2007,05,16,San Antonio,Phoenix,201.5,202.5,202.18421052631578
2007,05,17,Detroit,Chicago,182.5,184.5,182.81578947368422
2007,05,18,Cleveland,Brooklyn,181.5,181.5,181.5
2007,05,18,Phoenix,San Antonio,199.5,201.5,200.02631578947367
2007,05,20,Utah,San Antonio,185.5,187.5,186.55882352941177
2007,05,21,Cleveland,Detroit,176.5,177.5,177.44117647058823
2007,05,22,Utah,San Antonio,187.5,188.5,188.44117647058823
2007,05,24,Cleveland,Detroit,174.5,175.5,174.55882352941177
2007,05,26,San Antonio,Utah,190.5,191.5,190.9
2007,05,27,Detroit,Cleveland,173.5,174.5,173.7941176470588
2007,05,28,San Antonio,Utah,190.5,191.5,190.55882352941177
2007,05,29,Detroit,Cleveland,171.5,172.5,172.44736842105263
2007,05,30,Utah,San Antonio,189.5,190.5,190.23684210526315
2007,01,01,Minnesota,Charlotte,189.5,189.5,189.5
2007,01,02,L.A. Clippers,Orlando,184.5,184.5,184.5
2007,01,02,San Antonio,Cleveland,185.5,185.5,185.5
2007,01,02,Golden State,New Orleans,197.5,200.5,198.9
2007,01,02,Phoenix,Chicago,211.5,213.5,212.16666666666666
2007,01,02,Philadelphia,Denver,204.5,205.5,205.36666666666667
2007,01,02,New York,Sacramento,197.5,197.5,197.5
2007,01,03,Phoenix,Toronto,213.5,213.5,213.5
2007,01,03,Milwaukee,Washington,226.5,228.5,227.83333333333334
2007,01,03,Cleveland,Boston,186.5,187.5,187.36666666666667
2007,01,03,L.A. Clippers,Miami,181.5,183.5,182.56666666666666
2007,01,03,Golden State,Memphis,213.5,215.5,214.96666666666667
2007,01,03,San Antonio,Minnesota,183.5,184.5,184.23333333333332
2007,01,03,Philadelphia,Utah,193.5,194.5,194.43333333333334
2007,01,03,New York,Portland,189.5,191.5,190.56666666666666
2007,01,04,Detroit,New Orleans,174.5,177.5,174.83333333333334
2007,01,04,Indiana,Dallas,188.5,190.5,189.3
2007,01,04,L.A. Lakers,Sacramento,207.5,209.5,209.36666666666667
2007,01,05,Atlanta,Toronto,194.5,195.5,195.43333333333334
2007,01,05,L.A. Clippers,Washington,213.5,217.5,217.23333333333332
2007,01,05,Charlotte,Orlando,185.5,187.5,187.36666666666667
2007,01,05,Chicago,Brooklyn,193.5,194.5,193.63333333333333
2007,01,05,Boston,Memphis,213.5,215.5,214.56666666666666
2007,01,05,Dallas,San Antonio,185.5,186.5,186.03333333333333
2007,01,05,Philadelphia,Minnesota,187.5,188.5,188.43333333333334
2007,01,05,Cleveland,Milwaukee,204.5,205.5,204.56666666666666
2007,01,05,Utah,Houston,184.5,185.5,184.56666666666666
2007,01,05,Miami,Phoenix,203.5,205.5,205.36666666666667
2007,01,05,Denver,L.A. Lakers,214.5,217.5,217.16666666666666
2007,01,06,L.A. Clippers,Atlanta,188.5,191.5,188.83333333333334
2007,01,06,Brooklyn,Cleveland,186.5,186.5,186.5
2007,01,06,Indiana,New Orleans,178.5,179.5,178.7
2007,01,06,Detroit,Chicago,188.5,190.5,189.03333333333333
2007,01,06,Utah,Denver,207.5,210.5,209.76666666666668
2007,01,06,Portland,Sacramento,194.5,195.5,195.16666666666666
2007,01,07,Washington,Toronto,220.5,221.5,220.56666666666666
2007,01,07,Houston,Minnesota,180.5,181.5,180.56666666666666
2007,01,07,San Antonio,Memphis,212.5,214.5,212.9
2007,01,07,Boston,Orlando,190.5,191.5,191.43333333333334
2007,01,07,Golden State,Phoenix,226.5,228.5,228.23333333333332
2007,01,07,Miami,Portland,180.5,184.5,183.7
2007,01,07,Dallas,L.A. Lakers,202.5,204.5,204.34615384615384
2007,01,08,L.A. Clippers,New Orleans,179.5,181.5,179.9
2007,01,08,Houston,Chicago,183.5,184.5,183.56666666666666
2007,01,08,Milwaukee,Denver,210.5,212.5,210.63333333333333
2007,01,09,Detroit,Philadelphia,184.5,184.5,184.5
2007,01,09,Atlanta,Indiana,188.5,190.5,190.36666666666667
2007,01,09,Toronto,Brooklyn,193.5,194.5,194.36666666666667
2007,01,09,L.A. Lakers,Memphis,224.5,228.5,227.7
2007,01,09,Portland,San Antonio,185.5,186.5,185.76666666666668
2007,01,09,Dallas,Utah,188.5,189.5,188.56666666666666
2007,01,09,Cleveland,Sacramento,195.5,196.5,195.56666666666666
2007,01,10,Chicago,Washington,215.5,216.5,216.43333333333334
2007,01,10,New Orleans,Atlanta,176.5,177.5,177.3
2007,01,10,Indiana,Boston,192.5,192.5,192.5
2007,01,10,Philadelphia,New York,194.5,195.5,195.16666666666666
2007,01,10,Charlotte,Detroit,186.5,187.5,187.43333333333334
2007,01,10,Toronto,Milwaukee,197.5,198.5,197.83333333333334
2007,01,10,L.A. Clippers,Minnesota,188.5,189.5,189.43333333333334
2007,01,10,Portland,Dallas,184.5,185.5,185.43333333333334
2007,01,10,L.A. Lakers,Houston,194.5,195.5,195.43333333333334
2007,01,10,San Antonio,Denver,199.5,200.5,200.3
2007,01,10,Orlando,Golden State,205.5,207.5,206.83333333333334
2007,01,11,Brooklyn,Chicago,190.5,191.5,190.56666666666666
2007,01,11,Cleveland,Phoenix,208.5,210.5,209.83333333333334
2007,01,12,Milwaukee,Philadelphia,188.5,190.5,190.1
2007,01,12,Dallas,Indiana,186.5,187.5,187.03333333333333
2007,01,12,Toronto,Boston,187.5,189.5,188.16666666666666
2007,01,12,Charlotte,New York,198.5,200.5,199.56666666666666
2007,01,12,Detroit,Atlanta,181.5,183.5,182.16666666666666
2007,01,12,Minnesota,Memphis,217.5,218.5,218.3
2007,01,12,Washington,New Orleans,203.5,203.5,203.5
2007,01,12,Sacramento,Portland,192.5,194.5,193.03333333333333
2007,01,12,Houston,Denver,188.5,189.5,188.7
2007,01,12,Orlando,L.A. Lakers,196.5,198.5,197.56666666666666
2007,01,12,Miami,Golden State,209.5,212.5,211.76666666666668
2007,01,13,Philadelphia,Charlotte,197.5,199.5,198.96666666666667
2007,01,13,Boston,Detroit,183.5,184.5,183.96666666666667
2007,01,13,Washington,San Antonio,207.5,208.5,208.43333333333334
2007,01,13,Brooklyn,Minnesota,185.5,186.5,185.56666666666666
2007,01,13,Memphis,Chicago,222.5,224.5,223.83333333333334
2007,01,13,Miami,Utah,194.5,194.5,194.5
2007,01,13,Orlando,Phoenix,204.5,205.5,204.83333333333334
2007,01,13,Houston,Sacramento,186.5,188.5,186.63333333333333
2007,01,13,Cleveland,L.A. Clippers,187.5,188.5,187.7
2007,01,14,Dallas,Toronto,192.5,193.5,193.36666666666667
2007,01,14,Denver,Portland,191.5,192.5,191.83333333333334
2007,01,15,Sacramento,New York,206.5,207.5,206.63333333333333
2007,01,15,Utah,Washington,215.5,215.5,215.5
2007,01,15,Milwaukee,Charlotte,195.5,195.5,195.5
2007,01,15,Toronto,Philadelphia,191.5,192.5,192.23333333333332
2007,01,15,Boston,Atlanta,180.5,182.5,181.03333333333333
2007,01,15,San Antonio,Chicago,183.5,184.5,183.7
2007,01,15,Indiana,Brooklyn,186.5,187.5,187.3
2007,01,15,Minnesota,Detroit,183.5,184.5,184.36666666666667
2007,01,15,L.A. Clippers,Golden State,208.5,210.5,210.23333333333332
2007,01,15,Phoenix,Memphis,231.5,232.5,232.3
2007,01,15,Miami,L.A. Lakers,208.5,210.5,209.56666666666666
2007,01,16,Orlando,New Orleans,175.5,177.5,175.76666666666668
2007,01,16,Houston,Dallas,180.5,180.5,180.5
2007,01,17,Sacramento,Toronto,199.5,201.5,200.7
2007,01,17,New York,Washington,219.5,220.5,219.7
2007,01,17,Brooklyn,Charlotte,191.5,191.5,191.5
2007,01,17,Utah,Detroit,191.5,193.5,192.96666666666667
2007,01,17,Chicago,Milwaukee,191.5,192.5,192.36666666666667
2007,01,17,Philadelphia,Memphis,219.5,221.5,220.3
2007,01,17,Atlanta,Minnesota,186.5,186.5,186.5
2007,01,17,Phoenix,Houston,200.5,204.5,200.76666666666668
2007,01,17,L.A. Lakers,San Antonio,198.5,198.5,198.5
2007,01,17,Cleveland,Portland,183.5,184.5,183.83333333333334
2007,01,17,Golden State,L.A. Clippers,205.5,206.5,205.56666666666666
2007,01,18,Indiana,Miami,192.5,193.5,192.56666666666666
2007,01,18,L.A. Lakers,Dallas,205.5,206.5,206.3
2007,01,19,Utah,Toronto,199.5,199.5,199.5
2007,01,19,Miami,Philadelphia,198.5,200.5,198.63333333333333
2007,01,19,Washington,Orlando,204.5,205.5,205.1
2007,01,19,Sacramento,Boston,194.5,195.5,194.56666666666666
2007,01,19,Brooklyn,New York,194.5,194.5,194.5
2007,01,19,Charlotte,Atlanta,189.5,190.5,189.56666666666666
2007,01,19,New Orleans,San Antonio,177.5,178.5,178.03333333333333
2007,01,19,Detroit,Minnesota,186.5,187.5,187.43333333333334
2007,01,19,Portland,Phoenix,204.5,204.5,204.5
2007,01,19,Cleveland,Denver,194.5,196.5,195.7
2007,01,20,Memphis,L.A. Clippers,220.5,222.5,222.36666666666667
2007,01,20,Atlanta,Charlotte,184.5,185.5,184.56666666666666
2007,01,20,New York,Indiana,195.5,196.5,195.7
2007,01,20,Sacramento,Detroit,193.5,194.5,194.03333333333333
2007,01,20,Orlando,Brooklyn,180.5,181.5,180.7
2007,01,20,L.A. Lakers,New Orleans,194.5,194.5,194.5
2007,01,20,Boston,Washington,208.5,209.5,209.16666666666666
2007,01,20,Utah,Chicago,197.5,197.5,197.5
2007,01,20,Denver,Houston,191.5,192.5,192.23333333333332
2007,01,20,Cleveland,Golden State,204.5,207.5,204.7
2007,01,21,Dallas,Miami,194.5,195.5,195.23333333333332
2007,01,21,San Antonio,Philadelphia,185.5,186.5,185.56666666666666
2007,01,21,Minnesota,Phoenix,203.5,204.5,203.63333333333333
2007,01,21,Milwaukee,Portland,186.5,187.5,187.3
2007,01,22,Charlotte,Toronto,192.5,193.5,193.43333333333334
2007,01,22,Orlando,Cleveland,182.5,183.5,182.56666666666666
2007,01,22,Chicago,Indiana,190.5,191.5,190.83333333333334
2007,01,22,San Antonio,Boston,182.5,183.5,183.1
2007,01,22,New York,Miami,194.5,197.5,195.1
2007,01,22,Memphis,Denver,230.5,233.5,233.16666666666666
2007,01,22,Minnesota,Utah,192.5,193.5,192.9
2007,01,22,Brooklyn,Sacramento,192.5,193.5,193.36666666666667
2007,01,22,Golden State,L.A. Lakers,222.5,226.5,225.56666666666666
2007,01,23,New Orleans,Philadelphia,183.5,184.5,184.3
2007,01,23,Phoenix,Washington,230.5,231.5,231.43333333333334
2007,01,23,Dallas,Orlando,185.5,188.5,185.7
2007,01,23,Atlanta,Chicago,185.5,188.5,186.23333333333332
2007,01,23,Milwaukee,L.A. Clippers,192.5,195.5,194.9
2007,01,24,New Orleans,Toronto,187.5,188.5,188.1
2007,01,24,Detroit,Charlotte,186.5,189.5,186.7
2007,01,24,Philadelphia,Cleveland,187.5,188.5,187.56666666666666
2007,01,24,Miami,Indiana,192.5,196.5,195.7
